ID	accessionNumber	scientificName	decimalLatitude	decimalLongitude	typeStatus	catalogueNumber	identifiedBy	taxonRank	country	locality	basisOfRecord	higherClassification
NG_062975	NG_062975	Tremella indecorata Sommerf., 1826			TYPE	CBS:6976		species			materialSample	Eukaryota;Fungi;Dikarya;Basidiomycota;Agaricomycotina;Tremellomycetes;Tremellales;Tremellaceae;Tremella;Tremella_indecorata
NG_062974	NG_062974	Tremella coalescens L. S. Olive, 1952			TYPE	CBS:6967		species			materialSample	Eukaryota;Fungi;Dikarya;Basidiomycota;Agaricomycotina;Tremellomycetes;Tremellales;Tremellaceae;Tremella;Tremella_coalescens
NG_062973	NG_062973	Sirobasidium magnum Boedijn, 1934			TYPE	CBS:6803		species			materialSample	Eukaryota;Fungi;Dikarya;Basidiomycota;Agaricomycotina;Tremellomycetes;Tremellales;Sirobasidiaceae;Sirobasidium;Sirobasidium_magnum
NG_062972	NG_062972	Mrakia niccombsii (Thomas-Hall) X.Z. Liu, F.Y. Bai, M. Groenew. & Boekhout, 2015			HOLOTYPE	CBS:8917		species			materialSample	Eukaryota;Fungi;Dikarya;Basidiomycota;Agaricomycotina;Tremellomycetes;Cystofilobasidiales;Mrakiaceae;Mrakia;Mrakia_niccombsii
NG_062971	NG_062971	Mrakia stokesii (Fell, Statzell, I.L. Hunter & Phaff) Y. Yamada & Komag., 1987			TYPE	CBS:5917		species			materialSample	Eukaryota;Fungi;Dikarya;Basidiomycota;Agaricomycotina;Tremellomycetes;Cystofilobasidiales;Mrakiaceae;Mrakia;Mrakia_stokesii
NG_062970	NG_062970	Mrakia robertii Thomas-Hall & Turchetti, 2010			HOLOTYPE	CBS:8912		species			materialSample	Eukaryota;Fungi;Dikarya;Basidiomycota;Agaricomycotina;Tremellomycetes;Cystofilobasidiales;Mrakiaceae;Mrakia;Mrakia_robertii
NG_062969	NG_062969	Mrakia gelida (Fell, Statzell, I.L. Hunter & Phaff) Y. Yamada & Komag., 1987			TYPE	CBS:5272		species			materialSample	Eukaryota;Fungi;Dikarya;Basidiomycota;Agaricomycotina;Tremellomycetes;Cystofilobasidiales;Mrakiaceae;Mrakia;Mrakia_gelida
NG_062968	NG_062968	Mrakia blollopis Thomas-Hall, 2010			HOLOTYPE	CBS:8921		species			materialSample	Eukaryota;Fungi;Dikarya;Basidiomycota;Agaricomycotina;Tremellomycetes;Cystofilobasidiales;Mrakiaceae;Mrakia;Mrakia_blollopis
NG_062967	NG_062967	Cystofilobasidium macerans Samp., 2009			TYPE	CBS:10757		species			materialSample	Eukaryota;Fungi;Dikarya;Basidiomycota;Agaricomycotina;Tremellomycetes;Cystofilobasidiales;Cystofilobasidiaceae;Cystofilobasidium;Cystofilobasidium_macerans
NG_062966	NG_062966	Cystofilobasidium lacus-mascardii Libkind, Van Broock & Samp., 2009			TYPE	CBS:10642		species			materialSample	Eukaryota;Fungi;Dikarya;Basidiomycota;Agaricomycotina;Tremellomycetes;Cystofilobasidiales;Cystofilobasidiaceae;Cystofilobasidium;Cystofilobasidium_lacus-mascardii
NG_062965	NG_062965	Filobasidium wieringae (A. Fonseca, Scorzetti & Fell) X.Z. Liu, F.Y. Bai, M. Groenew. & Boekhout, 2015			TYPE	CBS:1937		species			materialSample	Eukaryota;Fungi;Dikarya;Basidiomycota;Agaricomycotina;Tremellomycetes;Filobasidiales;Filobasidiaceae;Filobasidium;Filobasidium_wieringae
NG_062964	NG_062964	Holtermanniella wattica (Guffogg, Thomas-Hall, Holloway & Watson) Libkind, Wuczkowski, Turchetti & Boekhout 2011			TYPE	CBS:9496		species			materialSample	Eukaryota;Fungi;Dikarya;Basidiomycota;Agaricomycotina;Tremellomycetes;Holtermanniales;Holtermanniella;Holtermanniella_wattica
NG_062963	NG_062963	Naganishia uzbekistanensis (A. Fonseca, Scorzetti & Fell) X.Z. Liu, F.Y. Bai, M. Groenew. & Boekhout, 2015			TYPE	CBS:8683		species			materialSample	Eukaryota;Fungi;Dikarya;Basidiomycota;Agaricomycotina;Tremellomycetes;Filobasidiales;Filobasidiaceae;Naganishia;Naganishia_uzbekistanensis
NG_062962	NG_062962	Solicoccozyma terricola (T.A. Pedersen) A.M. Yurkov, 2015			SYNTYPE	CBS:4517		species			materialSample	Eukaryota;Fungi;Dikarya;Basidiomycota;Agaricomycotina;Tremellomycetes;Filobasidiales;Piskurozymaceae;Solicoccozyma;Solicoccozyma_terricola
NG_062961	NG_062961	Papiliotrema terrestris Crestani, Landell, Faganello, Vainstein, Vishniac & P. Valente ex Xin Zhan Liu, F.Y. Bai, M. Groenew. & Boekhout, 2020			HOLOTYPE	CBS:10810		species			materialSample	Eukaryota;Fungi;Dikarya;Basidiomycota;Agaricomycotina;Tremellomycetes;Tremellales;Rhynchogastremaceae;Papiliotrema;Papiliotrema_terrestris
NG_062960	NG_062960	Papiliotrema taeanensis (K.S. Shin & Y.H. Park) X.Z. Liu, F.Y. Bai, M. Groenew. & Boekhout, 2015			TYPE	CBS:9742		species			materialSample	Eukaryota;Fungi;Dikarya;Basidiomycota;Agaricomycotina;Tremellomycetes;Tremellales;Rhynchogastremaceae;Papiliotrema;Papiliotrema_taeanensis
NG_062959	NG_062959	Filobasidium stepposum (Golubev & J.P. Samp.) X.Z. Liu, F.Y. Bai, M. Groenew. & Boekhout, 2015			TYPE	CBS:10265		species			materialSample	Eukaryota;Fungi;Dikarya;Basidiomycota;Agaricomycotina;Tremellomycetes;Filobasidiales;Filobasidiaceae;Filobasidium;Filobasidium_stepposum
NG_062958	NG_062958	Papiliotrema rajasthanensis (Saluja & G.S. Prasad) X.Z. Liu, F.Y. Bai, M. Groenew. & Boekhout, 2015			TYPE	CBS:10406		species			materialSample	Eukaryota;Fungi;Dikarya;Basidiomycota;Agaricomycotina;Tremellomycetes;Tremellales;Rhynchogastremaceae;Papiliotrema;Papiliotrema_rajasthanensis
NG_062955	NG_062955	Saitozyma paraflava Golubev & J.P. Samp. ex Xin Zhan Liu, F.Y. Bai, M. Groenew. & Boekhout, 2020			TYPE	CBS:10100		species			materialSample	Eukaryota;Fungi;Dikarya;Basidiomycota;Agaricomycotina;Tremellomycetes;Tremellales;Trimorphomycetaceae;Saitozyma;Saitozyma_paraflava
NG_062954	NG_062954	Filobasidium oeirense (A. Fonseca, Scorzetti & Fell) X.Z. Liu, F.Y. Bai, M. Groenew. & Boekhout,			TYPE	CBS:8681		species			materialSample	Eukaryota;Fungi;Dikarya;Basidiomycota;Agaricomycotina;Tremellomycetes;Filobasidiales;Filobasidiaceae;Filobasidium;Filobasidium_oeirense
NG_062953	NG_062953	Holtermanniella nyarrowii			TYPE	CBS:8804		species			materialSample	Eukaryota;Fungi;Dikarya;Basidiomycota;Agaricomycotina;Tremellomycetes;Holtermanniales;Holtermanniella;Holtermanniella_nyarrowii
NG_062951	NG_062951	Holtermanniella mycelialis (Golubev & Golubev) Libkind, Wuczkowski, Turchetti & Boekhout 2011			TYPE	CBS:7712		species			materialSample	Eukaryota;Fungi;Dikarya;Basidiomycota;Agaricomycotina;Tremellomycetes;Holtermanniales;Holtermanniella;Holtermanniella_mycelialis
NG_062950	NG_062950	Goffeauzyma metallitolerans (Gadanho & J.P. Samp.) X.Z. Liu, F.Y. Bai, M. Groenew. & Boekhout, 2015			HOLOTYPE	CBS:10873		species			materialSample	Eukaryota;Fungi;Dikarya;Basidiomycota;Agaricomycotina;Tremellomycetes;Filobasidiales;Filobasidiaceae;Goffeauzyma;Goffeauzyma_metallitolerans
NG_062949	NG_062949	Naganishia liquefaciens (Saito & M. Ota) X.Z. Liu, F.Y. Bai, M. Groenew. & Boekhout, 2016			TYPE	CBS:968		species			materialSample	Eukaryota;Fungi;Dikarya;Basidiomycota;Agaricomycotina;Tremellomycetes;Filobasidiales;Filobasidiaceae;Naganishia;Naganishia_liquefaciens
